;".shp MB";"features";"segments";"close segments";"parallel segments";"output features";"algorithm minutes";"process minutes"
"de/roads-mtp-nolinks";26,9;158702;965638;9;6;34617;1,3707166666667;3,5162166666667
"bw/roads-network-nolinks";25,7;114232;1089204;11;4;94411;1,16605;3,2226
"de-nw/roads-network-nolinks";30,1;162997;1146686;11;4;140683;1,4931333333333;3,6165666666667
"de/roads-mtp";36,4;213458;1313684;16;7;141542;4,8474166666667;8,0254333333333
"nl/roads-network-nolinks";96,2;803392;2395813;18;5;755055;14,1963;23,506533333333
"de/roads-classified-nolinks";121,6;601226;4894304;9;4;290165;4,6528333333333;14,5023
"de/roads-classified";132,1;663037;5272233;12;5;426308;8,6533333333333;20,592416666667
"gb/roads-network-nolinks";126,8;541358;5489304;12;4;699493;6,88595;18,7803
"de/roads-network-nolinks";178,1;867319;7228935;9;4;652132;10,016333333333;26,194766666667
"de/roads-network";188,6;929130;7606864;11;4;788672;12,795933333333;31,805316666667
"it/roads-network-nolinks";206,2;675329;9847693;14;4;1289336;20,810916666667;52,031783333333
"de/roads-nolinks";550;3386908;19132158;19;6;5785563;78,277433333333;222,04068333333
